time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-17T03:53:04.947Z,-22.5281,-70.4256,21.86,4.3,mb,,140,0.383,1.01,us,us6000c8wr,2020-10-17T04:29:45.040Z,"53 km SSW of Tocopilla, Chile",earthquake,4.4,8.5,0.267,5,reviewed,us,us
2020-10-17T02:59:04.090Z,44.3591667,-115.2158333,14.81,2.89,ml,14,77,0.293,0.2,mb,mb80470649,2020-10-17T14:37:17.470Z,"27 km NW of Stanley, Idaho",earthquake,0.4,1.01,0.201,15,reviewed,mb,mb
2020-10-17T02:37:33.247Z,-6.0364,130.4384,143.33,4.6,mb,,72,2.113,0.79,us,us6000c8wk,2020-10-17T02:51:53.040Z,"260 km W of Tual, Indonesia",earthquake,9.3,8.4,0.12,21,reviewed,us,us
2020-10-17T02:21:41.690Z,18.0311,-66.7996,16,2.66,md,22,112,0.0973,0.13,pr,pr2020291000,2020-10-17T03:29:36.807Z,"1 km NNW of Guayanilla, Puerto Rico",earthquake,0.34,0.45,0.24,14,reviewed,pr,pr
2020-10-17T02:04:34.954Z,55.9757,-149.8441,10,3,ml,,234,2.277,1.05,us,us6000c8wl,2020-10-17T10:07:12.014Z,"235 km SE of Chiniak, Alaska",earthquake,8.6,2,0.064,32,reviewed,us,us
2020-10-17T01:16:35.841Z,36.5147,71.0067,164.96,4.4,mb,,63,2.538,0.99,us,us6000c8w9,2020-10-17T01:36:19.040Z,"41 km SSE of Jurm, Afghanistan",earthquake,8,7.6,0.097,31,reviewed,us,us
2020-10-17T01:14:25.960Z,50.6299,178.4306,35,3.2,ml,,294,0.928,0.63,us,us6000c8wb,2020-10-17T09:17:03.300Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,7.5,2,0.115,10,reviewed,us,us
2020-10-17T00:36:01.135Z,-3.3122,100.2844,10,5.1,mww,,53,2.861,0.85,us,us6000c8w6,2020-10-17T00:55:15.040Z,"185 km SW of Sungai Penuh, Indonesia",earthquake,6.8,1.8,0.098,10,reviewed,us,us
2020-10-16T23:17:40.383Z,62.0429,-148.3355,19.8,2.5,ml,,,,0.78,ak,ak020dbznce8,2020-10-17T00:30:19.040Z,"28 km NNE of Chickaloon, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-10-16T22:27:18.453Z,63.9775,-149.0031,3,2.8,ml,,,,0.8,ak,ak020dbz407i,2020-10-16T23:57:10.494Z,"7 km SE of Ferry, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-10-16T21:30:54.002Z,-62.3557,-58.0966,10,4.7,mb,,69,0.29,0.86,us,us6000c8vb,2020-10-16T21:45:07.040Z,"South Shetland Islands",earthquake,6.3,1.9,0.113,24,reviewed,us,us
2020-10-16T20:06:27.817Z,13.6651,120.2743,63.07,5.4,mww,,27,3.868,0.89,us,us6000c8v2,2020-10-17T20:10:16.568Z,"6 km SSE of Looc, Philippines",earthquake,6.9,4.7,0.066,22,reviewed,us,us
2020-10-16T19:05:00.222Z,-23.3246,179.1753,559.13,4.7,mb,,134,5.65,1,us,us6000c8uv,2020-10-16T19:21:16.040Z,"south of the Fiji Islands",earthquake,14.1,8.7,0.051,118,reviewed,us,us
2020-10-16T18:34:14.880Z,17.9636,-66.8513,17,3.3,md,22,183,0.0302,0.19,pr,pr2020290011,2020-10-16T21:21:18.040Z,"4 km ESE of Maria Antonia, Puerto Rico",earthquake,0.6,0.38,0.18,19,reviewed,pr,pr
2020-10-16T12:47:54.610Z,18.0026,-66.841,14,2.8,md,19,141,0.0471,0.22,pr,pr2020290010,2020-10-16T13:13:30.757Z,"2 km WNW of Indios, Puerto Rico",earthquake,0.51,0.56,0.22,13,reviewed,pr,pr
2020-10-16T12:25:34.039Z,36.36383333,-97.34466667,7.75,2.81,ml,93,36,0,0.24,ok,ok2020uiyz,2020-10-17T03:19:09.949Z,"9 km NNW of Perry, Oklahoma",earthquake,,0.6,0.26,39,reviewed,ok,ok
2020-10-16T12:06:08.551Z,-62.3681,-58.5066,10,4.9,mb,,106,0.15,0.7,us,us6000c8ri,2020-10-16T12:29:58.040Z,"South Shetland Islands",earthquake,5.6,1.9,0.119,22,reviewed,us,us
2020-10-16T11:20:52.756Z,42.5011,-126.2713,10,2.6,ml,,262,1.674,0.67,us,us6000c8re,2020-10-17T11:54:49.040Z,"148 km W of Port Orford, Oregon",earthquake,8.7,2,0.05,52,reviewed,us,us
2020-10-16T10:39:14.609Z,69.4754,-144.4259,2.7,3.3,ml,,,,0.62,ak,ak020dbs1dxl,2020-10-16T20:33:43.956Z,"79 km SSW of Kaktovik, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2020-10-16T10:30:41.795Z,61.4152,-151.3847,74.3,2.5,ml,,,,0.48,ak,ak020dbrzhyh,2020-10-16T10:37:47.297Z,"34 km NNW of Beluga, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-10-16T10:10:53.325Z,36.6356,71.2304,222.2,4.9,mww,,56,2.747,0.93,us,us6000c8qv,2020-10-16T10:29:19.040Z,"27 km W of Ashkāsham, Afghanistan",earthquake,6.6,6.2,0.093,11,reviewed,us,us
2020-10-16T08:44:31.675Z,-7.6239,128.5857,112.14,4.2,mb,,80,2.711,0.7,us,us6000c8qf,2020-10-16T09:03:24.040Z,"201 km ENE of Lospalos, Timor Leste",earthquake,5.9,13,0.187,8,reviewed,us,us
2020-10-16T08:36:45.010Z,17.8893,-66.942,9,2.54,md,21,236,0.1063,0.15,pr,pr2020290006,2020-10-16T08:59:39.243Z,"9 km SSW of Guánica, Puerto Rico",earthquake,0.61,0.78,0.18,9,reviewed,pr,pr
2020-10-16T08:26:43.920Z,17.9283,-66.9305,13,2.71,md,18,204,0.0694,0.12,pr,pr2020290007,2020-10-16T09:26:21.459Z,"5 km SSW of Guánica, Puerto Rico",earthquake,0.64,0.3,0.23,13,reviewed,pr,pr
2020-10-16T08:13:31.237Z,29.612,67.5585,18.93,4.3,mb,,134,5.073,0.33,us,us6000c8q9,2020-10-16T08:53:09.040Z,"17 km NNW of Dadhar, Pakistan",earthquake,10.5,4.7,0.147,13,reviewed,us,us
2020-10-16T06:57:53.800Z,17.9648,-66.9161,9,2.89,md,22,184,0.0383,0.11,pr,pr2020290004,2020-10-16T09:10:44.040Z,"1 km SW of Guánica, Puerto Rico",earthquake,0.36,0.31,0.18,11,reviewed,pr,pr
2020-10-16T06:35:22.231Z,39.197,-119.5979,7.7,2.7,ml,35,66.24,0.103,0.1583,nn,nn00778922,2020-10-18T06:10:16.287Z,"4 km S of Dayton, Nevada",earthquake,,0.9,0.42,14,reviewed,nn,nn
2020-10-16T06:34:44.808Z,19.3492,-108.9032,10,4.3,mb,,184,6.825,0.54,us,us6000c8pt,2020-10-18T04:23:31.040Z,"Revilla Gigedo Islands region",earthquake,12.3,2,0.147,13,reviewed,us,us
2020-10-16T06:25:45.140Z,-11.6566,166.8336,230.9,4.7,mb,,73,7.12,0.5,us,us6000c8pr,2020-10-16T06:43:24.040Z,"153 km SE of Lata, Solomon Islands",earthquake,11.1,7.8,0.071,60,reviewed,us,us
2020-10-16T06:01:29.495Z,65.3203,-163.2645,0,3,ml,,,,0.86,ak,ak020dbpfiu3,2020-10-16T06:35:42.040Z,"71 km N of White Mountain, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-16T05:51:02.380Z,17.9665,-66.9173,9,3.18,md,22,185,0.0391,0.11,pr,pr2020290003,2020-10-16T06:57:17.204Z,"1 km WSW of Guánica, Puerto Rico",earthquake,0.37,0.47,0.22,17,reviewed,pr,pr
2020-10-16T05:45:40.136Z,-5.3448,101.7916,27.16,4.5,mb,,112,1.517,0.51,us,us6000c8pm,2020-10-16T06:10:49.040Z,"178 km SSW of Bengkulu, Indonesia",earthquake,7.7,6.3,0.172,10,reviewed,us,us
2020-10-16T05:43:07.698Z,31.697,-104.1409,1.35,2.6,mb_lg,,57,0.254,0.35,us,us6000c8pk,2020-10-16T05:56:17.040Z,"51 km W of Mentone, Texas",earthquake,1.4,2,0.093,49,reviewed,us,us
